ano,mes,dia,semana_si_100
2015,1,23,.0173927
2015,1,30,.0173554
2015,2,6,.0174444
2015,2,13,.0179002
2015,2,20,.0183198
2015,2,27,.0178078
2015,3,6,.0176228
2015,3,13,.0181508
2015,3,20,.0198325
2015,3,27,.0199955
2015,4,2,.0196895
2015,4,10,.020179
2015,4,17,.0195822
2015,4,24,.0196742
2015,4,30,.0190085
2015,5,8,.0179898
2015,5,15,.017357
2015,5,22,.0171674
2015,5,29,.0169937
2015,6,5,.0172933
2015,6,12,.0184573
2015,6,19,.0187268
2015,6,26,.0186665
2015,7,3,.0185708
2015,7,10,.0185563
2015,7,17,.0184145
2015,7,24,.0185157
2015,7,31,.0186268
2015,8,6,.0186146
2015,8,14,.0190183
2015,8,21,.0199945
2015,8,28,.0205465
2015,9,4,.0205147
2015,9,11,.0209338
2015,9,18,.0203412
2015,9,25,.0200286
2015,10,2,.0204542
2015,10,9,.0203904
2015,10,16,.0210082
2015,10,23,.0206347
2015,10,30,.0202386
2015,11,6,.0194114
2015,11,13,.0192544
2015,11,19,.0193208
2015,11,27,.0196353
2015,12,4,.019928
2015,12,11,.0196011
2015,12,18,.0192349
2015,12,23,.0193147
2015,12,30,.0189759
2016,1,8,.0185559
2016,1,15,.0197389
2016,1,22,.0202178
2016,1,29,.0217131
2016,2,4,.0222108
2016,2,12,.021393
2016,2,19,.0205425
2016,2,26,.0201218
2016,3,4,.0206031
2016,3,11,.021497
2016,3,18,.0203698
2016,3,24,.0206738
2016,4,1,.0194494
2016,4,8,.0199453
2016,4,15,.0199769
2016,4,22,.0190029
2016,4,29,.0175064
2016,5,6,.0179934
2016,5,13,.0179765
2016,5,20,.0178805
2016,5,27,.01668
2016,6,3,.0167902
2016,6,10,.0176425
2016,6,17,.0181146
2016,6,24,.0203229
2016,7,1,.0208287
2016,7,8,.0223247
2016,7,15,.0223608
2016,7,22,.0223575
2016,7,29,.0212505
2016,8,5,.0216857
2016,8,12,.0215223
2016,8,19,.0208378
2016,8,26,.0193392
2016,9,1,.0188565
2016,9,9,.0179558
2016,9,16,.0186681
2016,9,23,.0184372
2016,9,30,.0181037
2016,10,7,.0176214
2016,10,14,.0180693
2016,10,21,.0177465
2016,10,28,.0168339
2016,11,4,.017318
2016,11,11,.0170235
2016,11,18,.0166549
2016,11,25,.0158343
2016,12,2,.0162257
2016,12,9,.0168901
2016,12,16,.0170744
2016,12,23,.0176264
2016,12,29,.018072
2017,1,6,.0181981
2017,1,13,.0173352
2017,1,20,.0178974
2017,1,27,.0172045
2017,2,3,.0168657
2017,2,10,.0174018
2017,2,17,.0165507
2017,2,24,.0159436
2017,3,3,.0156469
2017,3,10,.0159288
2017,3,17,.0154549
2017,3,24,.0147055
2017,3,31,.0141362
2017,4,7,.0146956
2017,4,13,.0147873
2017,4,20,.0148779
2017,4,28,.0133286
2017,5,5,.0127537
2017,5,12,.0127633
2017,5,19,.0128491
2017,5,26,.013084
2017,6,2,.0130674
2017,6,9,.0132884
2017,6,16,.0135585
2017,6,23,.013885
2017,6,30,.0134299
2017,7,7,.0133817
2017,7,14,.0137228
2017,7,21,.013565
2017,7,28,.0130882
2017,8,4,.0137259
2017,8,11,.0135771
2017,8,18,.0137191
2017,8,25,.0136746
2017,9,1,.0143209
2017,9,8,.0139558
2017,9,15,.0143259
2017,9,22,.0140881
2017,9,29,.0136753
2017,10,6,.0132966
2017,10,13,.0134026
2017,10,20,.0136346
2017,10,27,.0131053
2017,11,3,.0129747
2017,11,10,.0134291
2017,11,17,.0132815
2017,11,24,.0134359
2017,12,1,.0134603
2017,12,8,.0137147
2017,12,15,.0138435
2017,12,22,.0142289
2017,12,28,.013767
2018,1,5,.0135442
2018,1,12,.0138925
2018,1,19,.0134103
2018,1,26,.0130397
2018,2,2,.0135075
2018,2,9,.014041
2018,2,16,.01466
2018,2,23,.0148811
2018,3,2,.0140273
2018,3,9,.0127626
2018,3,16,.0124855
2018,3,23,.0125576
2018,3,29,.0119412
2018,4,6,.0122166
2018,4,13,.0121961
2018,4,20,.0122946
2018,4,27,.0126153
2018,5,4,.012329
2018,5,11,.0123551
2018,5,18,.012715
2018,5,25,.0120712
2018,6,1,.0118227
2018,6,8,.0123233
2018,6,15,.0124144
2018,6,22,.0134016
2018,6,29,.0131668
2018,7,6,.0132491
2018,7,13,.0135946
2018,7,20,.0139333
2018,7,27,.0140252
2018,8,3,.0151459
2018,8,10,.0156479
2018,8,17,.0152696
2018,8,24,.0147814
2018,8,31,.0132877
2018,9,6,.0133791
2018,9,14,.0138617
2018,9,21,.0136696
2018,9,28,.0139316
2018,10,5,.0140223
2018,10,11,.0145998
2018,10,19,.0142856
2018,10,26,.0140867
2018,11,1,.0148655
2018,11,9,.0146403
2018,11,16,.0141953
2018,11,23,.0140482
2018,11,30,.0139629
2018,12,7,.0137585
2018,12,14,.0141627
2018,12,21,.014612
2018,12,28,.0163053
2019,1,4,.0155347
2019,1,11,.0153469
2019,1,18,.0146399
2019,1,24,.0140591
2019,2,1,.013339
2019,2,8,.0132993
2019,2,15,.0137006
2019,2,22,.0141447
2019,3,1,.0143226
2019,3,8,.0141756
2019,3,15,.0144435
2019,3,22,.0143294
2019,3,29,.0143028
2019,4,5,.0144068
2019,4,12,.0143717
2019,4,18,.0141303
2019,4,26,.0140517
2019,5,3,.0111483
2019,5,10,.0140443
2019,5,17,.0139952
2019,5,24,.0144067
2019,5,31,.0140664
2019,6,7,.0133194
2019,6,14,.0129947
2019,6,21,.0104525
2019,6,28,.0126066
2019,7,5,.0119874
2019,7,12,.0093468
2019,7,19,.0118851
2019,7,26,.0119017
2019,8,2,.0122017
2019,8,9,.0124967
2019,8,16,.0125557
2019,8,23,.012473
2019,8,30,.0124065
2019,9,6,.012425
2019,9,13,.0127699
2019,9,20,.0130937
2019,9,27,.0132418
2019,10,4,.0132622
2019,10,11,.0130553
2019,10,18,.0133677
2019,10,25,.0128954
2019,11,1,.0127141
2019,11,8,.0130421
2019,11,15,.0103337
2019,11,22,.0101182
2019,11,29,.0125275
2019,12,6,.0126376
2019,12,13,.013516
2019,12,20,.0133281
2019,12,27,.0078954
2019,12,31,.0067337
2020,1,3,.0090269
2020,1,10,.0133487
2020,1,17,.0128639
2020,1,24,.012525
2020,1,31,.0124227
2020,2,7,.0128377
2020,2,14,.0119493
2020,2,21,.0121019
2020,2,28,.007508
2020,3,6,.0129441
2020,3,13,.0140133
2020,3,20,.0158417
2020,3,27,.0158951
2020,4,3,.0144364
2020,4,10,.0115665
2020,4,17,.0139466
2020,4,24,.0114825
2020,5,1,.0122831
2020,5,8,.0148547
2020,5,15,.0149085
2020,5,22,.0152268
2020,5,29,.0160674
2020,6,5,.0151004
2020,6,12,.0112559
2020,6,19,.0133553
2020,6,26,.0130628
2020,7,3,.0128868
2020,7,10,.0131978
2020,7,17,.0133928
2020,7,24,.0130328
2020,7,31,.0128773
2020,8,7,.012797
2020,8,14,.0126335
2020,8,21,.0127875
2020,8,28,.0129199
2020,9,4,.0132452
2020,9,11,.010925
2020,9,18,.0140966
2020,9,25,.0143879
2020,10,2,.0146691
2020,10,9,.0148872
2020,10,16,.0116115
2020,10,23,.0147276
2020,10,30,.0144781
2020,11,6,.0118839
2020,11,13,.0152967
2020,11,20,.0148666
2020,11,27,.0145953
2020,12,4,.0149014
2020,12,11,.0146859
2020,12,18,.0152967
2020,12,25,.0093603
2021,1,1,.008728
2021,1,8,.0144288
2021,1,15,.014808
2021,1,22,.0147514
2021,1,29,.0119944
2021,2,5,.0151492
2021,2,12,.0148461
2021,2,19,.0091059
2021,2,26,.0164357
2021,3,5,.0165132
2021,3,12,.0179801
2021,3,19,.0181643
2021,3,26,.0179324
2021,4,2,.0136743
2021,4,9,.0166987
2021,4,16,.0166958
2021,4,23,.0135161
2021,4,30,.0164594
2021,5,7,.0161747
2021,5,14,.0163327
2021,5,21,.0160607
2021,5,28,.0159295
2021,6,4,.0123185
2021,6,11,.0153299
2021,6,18,.0151218
2021,6,25,.0154105
2021,7,2,.0152423
2021,7,9,.0117548
2021,7,16,.0145817
2021,7,23,.0142961
2021,7,30,.0137739
2021,8,6,.0134718
2021,8,13,.0136021
2021,8,20,.0143957
2021,8,27,.0145097
2021,9,3,.0145112
2021,9,10,.011724
2021,9,17,.0151465
2021,9,24,.0158217
2021,10,1,.0159301
2021,10,8,.0169086
2021,10,15,.0135937
2021,10,22,.0168775
2021,10,29,.0178213
2021,11,5,.0143905
2021,11,12,.017556
2021,11,19,.014094
2021,11,26,.0178101
2021,12,3,.0179971
2021,12,10,.0178624
2021,12,17,.017138
2021,12,24,.0141011
2021,12,31,.013531
2022,1,7,.0174254
2022,1,14,.0187785
2022,1,21,.0196865
2022,1,28,.0200833
2022,2,4,.0197465
2022,2,11,.019814
2022,2,18,.0205531
2022,2,25,.0200425
2022,3,4,.0123606
2022,3,11,.0205264
2022,3,18,.020351
2022,3,25,.0205986
2022,4,1,.0193901
2022,4,8,.0190799
2022,4,15,.0152881
2022,4,22,.0152162
2022,4,29,.01877
2022,5,6,.0189047
2022,5,13,.0191324
2022,5,20,.0201849
2022,5,27,.0205961
2022,6,3,.0204092
2022,6,10,.0196547
2022,6,17,.0154974
2022,6,24,.0194426
2022,7,1,.0185546
2022,7,8,.0188066
2022,7,15,.0186977
2022,7,22,.018719
2022,7,29,.0192471
2022,8,5,.0209395
2022,8,12,.0216805
2022,8,19,.0220389
2022,8,26,.0201629
2022,9,2,.019289
2022,9,9,.0157348
2022,9,16,.0201425
2022,9,23,.021662
2022,9,30,.0222707
2022,10,6,.0242224
